,Linda Gomez,Jessica Ramirez,Brooke Franklin,Earl Carney,Jessica Oconnor,Kathleen Duncan,Melissa Chen,Michael Rice,Roy Vasquez,Alexandra Christensen,Robert Gill,Melissa Gray,Sharon Smith,Kyle Murray,Matthew Gill,Justin Johnson,William Berger PhD,Jamie Key,Andrea Cole,Kelly Collins,Benjamin Carpenter,Eric Vargas,James Harper,Isaac Shaw,Eric Wallace,John Stuart,Samuel Roberson,Rachel Duran,Thomas Ruiz,Emily Benitez,Lindsey Sanders,Sean Boone,Philip Sims,Karen Edwards,Barry Vaughn,Shaun Holmes,Dylan Wall,Jason Mccall
Linda Gomez,0.0,0.2887765726101049,0.4348133484162896,0.15111155736155737,0.10583098856788373,0.35076121794871795,0.39404959700226244,0.4903846153846154,0.11621790506289796,0.23661845966533465,0.20993598453242546,0.2841603708791209,0.47756410256410253,0.5913461538461539,0.4130726809954751,0.0948997387416505,0.20993598453242546,0.30678497360482654,0.2482572115384616,0.4348133484162896,0.34401542772387184,0.23746101871101874,0.2622162321312541,0.4250300480769231,0.21876546592194568,0.30269815352362517,0.5913461538461539,0.43663003663003663,0.15740317374932764,0.5913461538461539,0.22054696546147015,0.23425547996976567,0.4420272435897436,0.39404959700226244,0.21094288174512058,0.30554733727810657,0.23850526924189086,0.30269815352362517
Jessica Ramirez,0.2942525051331074,0.0,0.7899159663865547,0.2504947894603067,0.10281861065725166,0.34077713522253844,0.7158613445378152,0.47642628613636445,0.2140663390663391,0.22988334142833142,0.726984126984127,0.2760720175915183,0.3670872836314013,0.4163845825844647,0.7504201680672269,0.17240229425103376,0.726984126984127,0.5573295985060691,0.3540004278506637,0.7899159663865547,0.33422335746717846,0.39363466915191053,0.25475249777357406,0.4129319741053231,0.21253851608362218,0.6813793103448276,0.5745140509291453,0.33562265932013835,0.1529228428927212,0.5788996543713525,0.6891891891891893,0.18006422039715358,0.42944536069791733,0.7158613445378152,0.22303888906308794,0.2968502244388117,0.6813793103448276,0.5788996543713525
Brooke Franklin,0.37251115011531677,0.3836938432821835,0.0,0.1101163581450444,0.07711999825467934,0.25560287097444107,0.5235688025210083,0.3573477031098982,0.08468903821931299,0.17242601097608198,0.2789393336876826,0.20707023153421777,0.4647168803418803,0.3123128981895508,0.95,0.12609210350806987,0.2789393336876826,0.7055555555555555,0.180907274699386,0.5777310924369747,0.25068715264461683,0.17303999137078405,0.1910793392177352,0.30972323900058274,0.15941637301500577,0.26144104631917053,0.430919289044289,0.4248840048840049,0.11470111589331698,0.3123128981895508,0.2644376487485319,0.22795364071554547,0.3221092490532277,0.5235688025210083,0.16312684705412012,0.22265510732232122,0.26144104631917053,0.2221202332604719
Earl Carney,0.08782279505837197,0.15657667548836146,0.23575883575883574,0.0,0.12330585717682492,0.3158947408947409,0.22039128680919726,0.41093532556947193,0.050163800163800155,0.061731608711159014,0.11382875773598342,0.3310810810810811,0.10956111066687987,0.11181362671064608,0.22397089397089393,0.0816264025219249,0.11382875773598342,0.1663409563409563,0.3752252252252252,0.23575883575883574,0.2882800303222267,0.6621621621621622,0.23615133164353438,0.1108864822105578,0.05707392466719886,0.2881547064305685,0.15427684481468912,0.10017015832400447,0.2379050379050379,0.1554545306529692,0.11326473123026022,0.10083287017795356,0.3704125365202601,0.21365644490644486,0.22039128680919726,0.4618156618156618,0.2881547064305685,0.1554545306529692
Jessica Oconnor,0.11323791258082218,0.20188854020601607,0.30398529693880993,0.2763701201201201,0.0,0.20718760388899277,0.43585643212508884,0.2695223896951539,0.09920634920634919,0.12128834102331569,0.1467697641497704,0.6547619047619048,0.14126709886320388,0.2196879292582418,0.2887860320918694,0.16142830819447734,0.1467697641497704,0.21447851506238258,0.4715401785714286,0.30398529693880993,0.32839593284122154,0.434295903045903,0.15488585982734646,0.21786630463752663,0.1121370685634328,0.18899359642894123,0.3031183368869936,0.129158490389215,0.15603607270273934,0.2196879292582418,0.18004645784933795,0.0692945551611979,0.4219576719576719,0.3572765465256137,0.43585643212508884,0.30289355289355285,0.18899359642894123,0.1599809620520116
Kathleen Duncan,0.09264619586740022,0.24089316859399962,0.24870717517776342,0.19520282477599554,0.1367103104354776,0.0,0.24434979754248495,0.6334688346883469,0.05561705542650663,0.08794752994765696,0.17512550986674894,0.3670725658149438,0.11557842256725173,0.15929816975453406,0.23627181641887524,0.09049992501573516,0.17512550986674894,0.17547672915319973,0.39583333333333337,0.24870717517776342,0.4443921062738362,0.3067472960765644,0.7475633528265108,0.15797728940831074,0.08131184013663051,0.16413962108335975,0.21979448961156275,0.26375808755156244,0.250971250971251,0.15929816975453406,0.1660209675445133,0.3191976855719546,0.5710017690454682,0.2253908775048481,0.24434979754248495,0.4871794871794872,0.16413962108335975,0.13945297203948634
Melissa Chen,0.25980553281894303,0.4631996348469052,0.6974436409179056,0.11602909500906644,0.07065898187633261,0.204255196126042,0.0,0.28556066254514617,0.12830720594392467,0.13778760995478959,0.33673878215854375,0.18972214818763322,0.32411383302165164,0.24957283159303054,0.6625714588720102,0.1522198422638286,0.33673878215854375,0.4920852355365223,0.2121809808986207,0.6974436409179056,0.22968489855056023,0.18233143501424728,0.15269369924822052,0.24750340512874336,0.1273914585221473,0.34698120918148423,0.3443525636573821,0.29633264733408154,0.11884179522400676,0.34698120918148423,0.4130866142584892,0.15898481714114218,0.29512334162520726,0.8197115384615384,0.31156716417910446,0.23069289661130724,0.3156146477439602,0.34698120918148423
Michael Rice,0.1184896083988329,0.2112516340509991,0.31808338720103424,0.3081490581490582,0.21581221198156678,0.7152777777777778,0.38573294243070355,0.0,0.08779761904761901,0.1388348173291355,0.15357658475453584,0.5794642857142855,0.147818719388643,0.2514696241258741,0.3021792178409825,0.14286405275211242,0.15357658475453584,0.22442550096961858,0.50625,0.31808338720103424,0.7015216565349542,0.4842342342342343,0.5347154537578515,0.24938446969696967,0.12835965352049908,0.21072538055296677,0.34696969696969693,0.18866029873479814,0.320979020979021,0.2514696241258741,0.15934111519666405,0.22831501120771752,0.9013888888888888,0.31618974367516806,0.38573294243070355,0.6230769230769231,0.21072538055296677,0.1755458145395252
Roy Vasquez,0.18368288133851718,0.39121681895990545,0.4484849504380755,0.21607118482118476,0.19065074710236,0.3265780879215993,0.5271082380457381,0.4565751908806826,0.0,0.24805194805194805,0.2844084175930741,0.5119047619047619,0.20841852704786526,0.3990352249767787,0.4260607029161717,0.12620758640659135,0.2844084175930741,0.31643104836464214,0.36865868506493504,0.4484849504380755,0.32029738423937937,0.3395404332904332,0.2441378103663418,0.395726475184268,0.2036827445801379,0.5547788354392128,0.5505759654737642,0.19055408187233397,0.14655105777219116,0.5547788354392128,0.660472972972973,0.10424296982308881,0.4115518040021708,0.5271082380457381,0.3407604832977967,0.2844814650871946,0.43712746171675904,0.5547788354392128
Alexandra Christensen,0.20573202838827842,0.21825522057940555,0.3286287471719458,0.20991566850941848,0.18521941767909508,0.36578026196928637,0.33105277185501064,0.5113821138211383,0.4911616161616162,0.0,0.15866808099264718,0.4973214285714285,0.15271932617640716,0.4469350961538462,0.3121973098133485,0.122612137724078,0.15866808099264718,0.23186583828242838,0.3581561992694805,0.3286287471719458,0.6020763677811549,0.32986747908622904,0.2734439190355192,1.0,0.5147058823529411,0.31199627300256233,0.6166666666666667,0.13962909821842942,0.16414293024049123,0.4469350961538462,0.3243989728364729,0.11675621304849947,0.7736111111111111,0.29781980212457587,0.33105277185501064,0.3186303939962477,0.2458315461416741,0.31199627300256233
