,Melissa Chen,Michael Rice,Karen Edwards,Philip Sims,Linda Gomez,Jason Mccall,Earl Carney,Isaac Shaw,Kathleen Duncan,Melissa Gray,Eric Vargas,William Berger PhD,Dylan Wall,Benjamin Carpenter,Jessica Ramirez,Kelly Collins,Robert Gill,Rachel Duran,Lindsey Sanders,Barry Vaughn,Jamie Key,James Harper,Shaun Holmes,Eric Wallace,John Stuart,Roy Vasquez,Alexandra Christensen,Samuel Roberson,Emily Benitez,Thomas Ruiz,Justin Johnson,Jessica Oconnor,Brooke Franklin,Matthew Gill,Sean Boone,Kyle Murray,Sharon Smith,Andrea Cole
Melissa Chen,0.0,0.28556064,0.81971157,0.29512334,0.25980553,0.34698117,0.11602909,0.24750338,0.20425518,0.18972214,0.18233144,0.3367388,0.31561467,0.2296849,0.46319965,0.69744366,0.3367388,0.29633266,0.4130866,0.31156716,0.49208525,0.15269369,0.23069291,0.12739146,0.34698117,0.1283072,0.1377876,0.34435254,0.34698117,0.1188418,0.15221985,0.07065898,0.69744366,0.6625715,0.15898484,0.24957283,0.32411385,0.21218097
Michael Rice,0.38573292,0.0,0.31618974,0.9013889,0.1184896,0.17554581,0.30814907,0.24938446,0.7152778,0.57946426,0.48423424,0.15357658,0.21072538,0.7015217,0.21125163,0.31808338,0.15357658,0.18866031,0.1593411,0.38573292,0.2244255,0.5347155,0.6230769,0.12835966,0.21072538,0.08779762,0.13883482,0.3469697,0.25146964,0.320979,0.14286403,0.2158122,0.31808338,0.30217922,0.22831503,0.25146964,0.14781871,0.50625
Karen Edwards,1.0,0.3483672,0.0,0.31401435,0.31694752,0.4232967,0.14154868,0.3019396,0.24917933,0.20186636,0.22243366,0.41080156,0.38503134,0.24438716,0.56507635,0.85084033,0.41080156,0.36150846,0.5039414,0.31156716,0.60031515,0.18627734,0.28143182,0.15541011,0.4232967,0.15652727,0.16809279,0.4200899,0.4232967,0.14498003,0.18569928,0.0751819,0.85084033,0.8082983,0.19395217,0.3044642,0.39539987,0.25884834
Philip Sims,0.42793176,0.43428186,0.3507806,0.0,0.11117904,0.15707222,0.2713452,0.2139051,0.31063217,0.64285713,0.42639962,0.14410122,0.18555735,0.7782675,0.19821784,0.29845828,0.14410122,0.12681016,0.17677288,0.42793176,0.2105789,0.23221722,0.2973864,0.11009822,0.18555735,0.0974026,0.1190831,0.2976071,0.21569361,0.15319905,0.15849324,0.23942187,0.29845828,0.28353536,0.09915307,0.21569361,0.13869861,0.4629667
Linda Gomez,0.39404958,0.4903846,0.39404958,0.44202724,0.0,0.30269814,0.15111154,0.42503005,0.3507612,0.28416035,0.23746102,0.20993598,0.23850526,0.34401542,0.28877655,0.43481332,0.20993598,0.43663004,0.22054696,0.21094288,0.30678496,0.2622162,0.30554733,0.21876547,0.30269814,0.116217904,0.23661846,0.59134614,0.59134614,0.15740317,0.09489974,0.10583099,0.43481332,0.41307265,0.2342555,0.59134614,0.4775641,0.24825722
Jason Mccall,0.5814817,0.82298595,0.5814817,0.7418304,0.3310921,0.0,0.2896663,0.71330494,0.5886636,0.47689095,0.45518988,0.35436508,0.787931,0.5773425,0.4315725,0.5288743,0.35436508,0.22471024,0.7286036,0.35401404,0.3731502,0.4400633,0.5127836,0.36714226,1.0,0.22630869,0.39710397,0.99242425,1.0,0.26416123,0.13111632,0.17761043,0.5288743,0.50243056,0.18790004,0.71926904,0.24577682,0.6115057
Earl Carney,0.2203913,0.41093534,0.21365646,0.37041256,0.087822795,0.15545455,0.0,0.11088649,0.31589475,0.3310811,0.6621622,0.113828756,0.28815472,0.28828007,0.15657668,0.23575884,0.113828756,0.100170165,0.11326474,0.2203913,0.16634096,0.23615134,0.46181569,0.057073932,0.28815472,0.0501638,0.061731614,0.15427686,0.15545455,0.23790504,0.08162641,0.123305865,0.23575884,0.22397089,0.10083287,0.11181364,0.109561116,0.37522525
Isaac Shaw,0.2978198,0.5113821,0.2978198,0.46095416,0.20573203,0.31199628,0.15758191,0.0,0.36578026,0.29632765,0.24762873,0.15866809,0.24583155,0.35874563,0.21825522,0.32862875,0.15866809,0.13962911,0.22732161,0.21997513,0.23186584,0.2734439,0.3186304,0.5147059,0.31199628,0.27343455,0.55670995,0.6166667,0.44693512,0.16414292,0.08147227,0.11036251,0.32862875,0.3121973,0.11675621,0.44693512,0.15271933,0.2588872
Kathleen Duncan,0.2443498,0.6334688,0.22539088,0.57100177,0.09264619,0.13945298,0.19520281,0.15797728,0.0,0.36707255,0.3067473,0.17512551,0.16413963,0.4443921,0.24089317,0.24870718,0.17512551,0.26375806,0.16602097,0.2443498,0.17547673,0.74756336,0.4871795,0.081311844,0.16413963,0.055617057,0.087947525,0.21979448,0.15929817,0.25097126,0.09049992,0.1367103,0.24870718,0.23627181,0.31919768,0.15929817,0.11557842,0.39583334
Melissa Gray,0.66567165,0.4116342,0.54565877,0.64444447,0.17294517,0.24433456,0.42209256,0.33274126,0.316432,0.0,0.6632883,0.22415747,0.28864476,0.5015502,0.30833888,0.46426848,0.22415747,0.19726025,0.27498004,0.66567165,0.3275672,0.23655295,0.46260107,0.17126389,0.28864476,0.15151516,0.18524037,0.46294436,0.3355234,0.23830964,0.24654505,0.37243402,0.46426848,0.44105506,0.1058317,0.3355234,0.21575339,0.72017044
