,William Berger PhD,Justin Johnson,Thomas Ruiz,Jenna Torres,Ronald Lewis,Allison Schmidt,Eric Vargas,Nichole Jefferson,Jessica Ramirez,Bryan Jones,Samuel Roberson,Kyle Murray,Dylan Wall,Justin Sanchez,Benjamin Carpenter,Kathleen Duncan,Lindsey Sanders,Erik Petersen,Alejandra Lopez,Amy Murphy,Morgan Kennedy DDS,Brett Hutchinson,Susan Riley MD,George Davila,Roy Vasquez,Eric Wallace,Rachel Duran,Ryan Moreno,Pamela Larson,Brooke Franklin,Victor Fox,Michelle Rivera,Emily Benitez,James Harper,Linda Gomez,Rebecca Kelly,Molly Bailey,Joshua Maynard,Earl Carney,Shaun Holmes,Matthew Gill,Karen Edwards,John Stuart,Jessica Oconnor,Philip Barnes,Evan Hunt,Robert Bridges DDS,Randy Woodard,Tony Jones,Sydney Gutierrez,Dustin Henry,Melissa Chen,Colin Guzman,Sharon Smith,Michael Rice,Philip Sims,Dennis Williams,Isaac Shaw,Matthew Stewart,Alexandra Christensen,Rebecca Ballard,Michael Baker,Christina Ross,Colleen Howard,Jonathan Jennings,Jason Mccall,Sean Boone,Andrea Cole,Pamela Macdonald,Diana Reyes,Susan Flores,Stephanie Shannon,Jamie Key,Jessica Potter,Barry Vaughn,Jill Stone,Melissa Gray,Dustin Hall,Kelly Collins,Robert Gill
William Berger PhD,0.0,0.32249322493224936,0.43818036552481776,0.38162009150455883,0.744446726572529,1.0,0.5491100856954516,0.7814634146341464,0.8768956289027654,0.6912939798351673,1.0,1.0,0.5974985388661601,0.5017421602787456,0.5817496663948402,0.7198509485094852,0.6789167215996486,0.7794596622889306,0.7352941176470589,0.5974985388661601,0.7352941176470589,0.5926657448665833,0.7198509485094852,0.4039094560211157,0.44162492129971803,0.3699448529411764,0.744446726572529,0.975,0.7405337179949514,0.7352941176470589,0.39534786428481783,0.7198509485094852,1.0,0.5621052631578948,0.7198509485094852,0.5344202898550725,0.5792687270789969,0.6726287262872629,0.8292682926829269,0.7794596622889306,0.698529411764706,0.6797607879924954,0.698529411764706,0.6845719190329733,0.54203007518797,0.8292682926829269,0.596749226006192,0.6757151067816632,1.0,0.49386974158807356,0.5366906069332257,0.8292682926829269,0.7707942464040026,0.4471737243545859,0.8292682926829269,0.7474932249322493,0.6066176470588235,0.71875,0.8292682926829269,0.44562201574396704,0.5672023809523808,0.85671768707483,0.35625,0.39931876871975047,0.698529411764706,0.5702710687370912,0.7007936507936507,0.6333109756097561,0.7198509485094852,0.480362075255368,1.0,0.43818036552481776,0.5187908496732027,0.5683860427121018,0.3567164179104478,0.8292682926829269,0.48743535668439397,0.44710027100271005,0.7352941176470589,0.9226190476190477
Justin Johnson,0.9824626865671642,0.0,0.5172927902239812,0.4521184563014885,0.8528321932006634,0.9824626865671642,0.6505496167809601,0.8310196578085184,0.8615172354108139,0.8189997695911524,0.9824626865671642,0.9824626865671642,0.6434812990542974,0.594431205317948,0.7242638777049403,0.8528321932006634,0.8043360057819013,0.828888838173112,0.8596548507462687,0.6434812990542974,0.7584033613445378,0.7021515052192963,0.8528321932006634,0.47852543355846683,0.5232082432953079,0.41047227368831507,0.7916555687544308,0.9579011194029851,0.7275467460748907,0.8596548507462687,0.46838222117141065,0.8528321932006634,0.9824626865671642,0.6375460937474745,0.8528321932006634,0.5250479937270172,0.6009055633291874,0.7968864013266999,0.9824626865671642,0.828888838173112,0.8166721082089552,0.8053360002870263,0.8166721082089552,0.8110359128113099,0.6147765903993503,0.9824626865671642,0.5862838477889192,0.8005429425197639,0.9824626865671642,0.5851044799567306,0.6148284505035904,0.9824626865671642,0.9131864714887103,0.5297821012428733,0.8287032823686445,0.9306104892205638,0.5959792032484635,0.7061450559701492,0.9824626865671642,0.5279437386480297,0.5572551750177682,0.8416931604731446,0.3500023320895522,0.47308668831873596,0.8166721082089552,0.6756197616700527,0.6897706778606966,0.6734721810156534,0.8528321932006634,0.5691014827704427,0.9824626865671642,0.5172927902239812,0.6065342558043116,0.6733865064629009,0.9824626865671642,0.9824626865671642,0.5982496002132196,0.529695078528924,0.7584033613445378,0.906438788201848
Thomas Ruiz,0.5878285735319153,0.2297013414167968,0.0,0.2705122045538234,0.6736296386126607,0.5878285735319153,0.4003349503349503,0.5878285735319153,0.5154643066742843,0.49002519165782316,0.5878285735319153,0.5878285735319153,0.40859043522627814,0.3905919753300301,0.40113257906582206,0.5263597844920944,0.4812515461235388,0.6487179487179487,0.5458538579551798,0.4097433841703791,0.5709179756293509,0.4333611206455345,0.5263597844920944,0.2863120674743152,0.5622252519536052,0.2455943970347509,0.5599840621540878,0.5731328591936174,0.4353068791012579,0.5458538579551798,0.30765472724663717,0.6736296386126607,0.5878285735319153,0.6985788844872036,0.6736296386126607,0.3286925747863248,0.36640306558567115,0.4790913692407476,0.5878285735319153,0.6487179487179487,0.5185611650574208,0.5582716962524655,0.5185611650574208,0.5906605922146203,0.6736296386126607,0.5878285735319153,0.4207628800508057,0.47898207472560783,0.5878285735319153,0.4261194272405475,0.4856367644461872,0.5878285735319153,0.5463791228341521,0.3858292890879958,0.5718035577791676,0.5154173736092774,0.3565871861498751,0.4225017872260642,0.5878285735319153,0.3258417713522489,0.33341776649914406,0.5036031359127592,0.20941392932074485,0.28305794912479765,0.5185611650574208,0.40423784656917794,0.5458538579551798,0.5270833333333333,0.5263597844920944,0.3512439331129938,0.5878285735319153,0.7396717600452745,0.38513022200171015,0.46098407249853346,0.2936058108594273,0.5906605922146203,0.44106702528209923,0.3184548513188499,0.4750000776937994,0.5423418386752791
Jenna Torres,0.6231343283582089,0.2768945824972989,0.32809683238664966,0.0,0.8120300751879699,0.6231343283582089,0.41261597418313833,0.5270804514015289,0.546423768756574,0.5194567471390902,0.6231343283582089,0.6231343283582089,0.4663465719486297,0.4026031465217666,0.45936979710112047,0.540915215588723,0.5101561449509211,0.5257289630646019,0.6230128106189226,0.4663465719486297,0.4962526283717825,0.45579091960670903,0.540915215588723,0.3035083456295631,0.3791817587156373,0.27432151291095863,0.8120300751879699,0.6075559701492537,0.479662914950557,0.6230128106189226,0.3708638649162397,0.540915215588723,0.6231343283582089,0.4043683921603807,0.540915215588723,0.33301562837983995,0.38112886090381426,0.5775229863515092,0.6231343283582089,0.5257289630646019,0.5918621700879764,0.5107903989667049,0.5918621700879764,0.7120146407073401,0.3899266638689385,0.6231343283582089,0.37185492814564947,0.5077503661253344,0.6231343283582089,0.5136677050817239,0.5854131643605327,0.6231343283582089,0.5791953693073096,0.4650997650179071,0.5256112729037737,0.5902466832504145,0.378004280070237,0.4478777985074627,0.6231343283582089,0.33485227631682857,0.366789855995922,0.5338502005279724,0.22199160447761193,0.30005878066551045,0.5918621700879764,0.4285169016289358,0.49989361232994506,0.42715478248998906,0.540915215588723,0.4073545300200648,0.6231343283582089,0.32809683238664966,0.439570149714462,0.4271004427622652,0.6231343283582089,0.7120146407073401,0.5316863587540279,0.3838829262218855,0.45818700614574187,0.5749156005685856
Ronald Lewis,0.6325722664432342,0.34099055066797,0.3641853966276791,0.2649688921377518,0.0,0.6325722664432342,0.434295903045903,0.5722938273371003,0.5546998554091875,0.5725921515268884,0.6325722664432342,0.6325722664432342,0.5742971673071089,0.4957983193277311,0.3679987049739794,0.5757828418594548,0.471389781567369,0.5708264072670051,0.7672287390029325,0.5742971673071089,0.611125921976362,0.5612980769230769,0.6187517106549365,0.3345543158069035,0.4669553139738868,0.3378218631218287,0.6571428571428571,0.6167579597821533,0.5906959971150378,0.7672287390029325,0.45671198179499894,0.5757828418594548,0.6325722664432342,0.4788075648962746,0.5757828418594548,0.33805945398687337,0.3664293315680483,0.7112088628217661,0.5757828418594548,0.5708264072670051,0.7288673020527858,0.5271701779682649,0.7288673020527858,0.8768328445747801,0.46170729472140765,0.5757828418594548,0.386380591247792,0.4691668159786633,0.6325722664432342,0.6325722664432342,0.7209254709254709,0.5757828418594548,0.5351827696770574,0.5727617476609412,0.5245721233919504,0.4728434834463552,0.38372949986446186,0.45466131650607455,0.5757828418594548,0.38303677326257973,0.45169491525423733,0.6263091746962713,0.22535386992040218,0.2772575504091861,0.7288673020527858,0.3959542400027795,0.6156097262952103,0.4715401785714286,0.5757828418594548,0.501649560117302,0.6325722664432342,0.3641853966276791,0.5413224991854023,0.5055423816806746,0.43585643212508884,0.8768328445747801,0.6547619047619048,0.4727447146991739,0.4651266665023781,0.5836232220160792
Allison Schmidt,0.8090909090909091,0.26614486326681447,0.3966149345471125,0.314940653698035,0.7405337179949514,0.0,0.5357493857493858,0.6843725055432373,0.8425512934879572,0.662677374083892,0.8090909090909091,0.8090909090909091,0.5740970192869667,0.41407412100095026,0.4706883664467343,0.5940733555062824,0.5806772428092679,0.6826177042469725,0.7007936507936507,0.5740970192869667,0.6655447192257814,0.4891108756271676,0.5940733555062824,0.38718933694106195,0.3795965608465608,0.3377041289923333,0.6519548605438208,0.7888636363636363,0.7405337179949514,0.7007936507936507,0.3789821583813108,0.5940733555062824,1.0,0.5450617283950617,0.5940733555062824,0.43239459815546777,0.5565811930072356,0.5781547619047618,0.8090909090909091,0.6826177042469725,0.6657539682539682,0.6101092170051218,0.6657539682539682,0.6493242864530512,0.525595238095238,0.6843725055432373,0.48282437376864623,0.6592739103332322,0.8090909090909091,0.4684410923697012,0.5338696193817002,0.6843725055432373,0.752039627039627,0.424149386520643,0.6709534368070954,0.604789972899729,0.49080882352941174,0.5815340909090909,0.6843725055432373,0.36775969626579386,0.566273204196933,0.6931624922696352,0.2882386363636364,0.3584316729433266,0.6657539682539682,0.5118798043326345,0.7007936507936507,0.5546268847006652,0.5940733555062824,0.3964297199243846,0.8090909090909091,0.3966149345471125,0.4944488536155202,0.4690734996127691,0.3227663841936062,0.6843725055432373,0.4848732677347896,0.38430287114845935,0.6655447192257814,0.746482683982684
Eric Vargas,0.6363636363636364,0.24134296898524543,0.38552567395456255,0.2855915063873986,0.5387119843420657,0.6363636363636364,0.0,0.5650931832395247,0.5580244911199416,0.5212069234367691,0.6363636363636364,0.6363636363636364,0.43517241379310345,0.37548678007788483,0.43536167844581175,0.5387119843420657,0.508078200151371,0.6974358974358974,0.5430216802168022,0.43517241379310345,0.5106720202874049,0.44353090057009015,0.5387119843420657,0.30453093916712737,0.33049708162625957,0.2592846926265162,0.5383256114018631,0.6204545454545455,0.4712487296331509,0.5430216802168022,0.29807585490664895,0.5387119843420657,0.6363636363636364,0.40647053531264055,0.5387119843420657,0.3533769973987365,0.37099715099715097,0.5033724781692261,0.6363636363636364,0.6974358974358974,0.5158705962059621,0.6001972386587772,0.5158705962059621,0.5123103577076826,0.3919537304800462,0.6205962059620597,0.45236167341430494,0.5185300418351265,0.6363636363636364,0.3991071428571429,0.3883711910049986,0.6205962059620597,0.5914918414918415,0.36137105082417587,0.6205962059620597,0.559398524540801,0.38602941176470584,0.45738636363636365,0.6205962059620597,0.33348837125937403,0.3609469696969696,0.5451839826839827,0.22670454545454546,0.298836594891578,0.5158705962059621,0.4267714860810258,0.44595959595959594,0.5666666666666667,0.5387119843420657,0.35948665108980155,0.6363636363636364,0.38552567395456255,0.38313196326407706,0.42536079667016774,0.3328358208955224,0.6205962059620597,0.5,0.3345946472536621,0.5106720202874049,0.5871212121212122
Nichole Jefferson,1.0,0.3888888888888889,0.5513584087070765,0.4601889338731444,0.9526315789473685,1.0,0.6621621621621622,0.0,0.8768956289027654,0.8336192109777016,1.0,1.0,0.6549676724137931,0.6050420168067226,0.6167611591170149,0.8680555555555556,0.8186936936936937,0.9974358974358974,0.875,0.6549676724137931,0.7352941176470589,0.7146851629273505,0.8680555555555556,0.4870672852019336,0.5325476992143658,0.417799351874168,0.9526315789473685,0.975,0.7405337179949514,0.875,0.476743012814045,0.8680555555555556,1.0,0.7192982456140351,0.8680555555555556,0.5344202898550725,0.5792687270789969,0.8111111111111111,1.0,0.9974358974358974,0.8312499999999999,0.8583703155818541,0.8312499999999999,0.8352986572001853,0.693609022556391,1.0,0.6469437167579581,0.8148329228837703,1.0,0.6026083169801336,0.6867763696711066,1.0,0.9294871794871795,0.5456309280348967,0.879176221249392,0.7924796772095213,0.6066176470588235,0.71875,1.0,0.5373677248677249,0.5672023809523808,0.85671768707483,0.35625,0.4815314563973461,0.8312499999999999,0.6876798181829629,0.7020833333333334,0.8104166666666667,0.8680555555555556,0.5792601495726496,1.0,0.5513584087070765,0.617361111111111,0.6854066985645934,0.4152106011296899,1.0,0.6237468671679198,0.5391503267973856,0.7352941176470589,0.9226190476190477
Jessica Ramirez,0.726984126984127,0.27839052287581706,0.4707309069638042,0.3357588357588358,0.6833583873432072,0.726984126984127,0.4740162957074722,0.60551393728223,0.0,0.5967557692030502,0.726984126984127,0.726984126984127,0.6813793103448276,0.4331261916531318,0.423597109861475,0.6214074171335201,0.6891891891891893,0.7158613445378152,0.7899159663865547,0.6813793103448276,0.7899159663865547,0.5116154816544006,0.6214074171335201,0.3486726416650397,0.3812303119901159,0.40081135902636916,0.5768316981478087,0.7088095238095238,0.5383562584788694,0.7899159663865547,0.4191818796484111,0.6578624078624079,0.726984126984127,0.5678160919540229,0.6214074171335201,0.42147633509925714,0.6605902777777778,0.5806430905695612,0.7158613445378152,0.6039613374430449,0.7504201680672269,0.7158613445378152,0.7504201680672269,0.6833583873432072,0.5475369458128079,0.7158613445378152,0.4338272150965649,0.5833073917492537,0.726984126984127,0.49299426515474226,0.4926504672062719,0.7158613445378152,0.6653839420383538,0.44638102534043184,0.6038261341121816,0.5442821681094525,0.4963235294117647,0.5225198412698413,0.7158613445378152,0.3846807820350363,0.4123471277399848,0.6750566893424036,0.25898809523809524,0.4053607308324289,0.7504201680672269,0.5788996543713525,0.6338135254101641,0.490718586672474,0.6214074171335201,0.4146699495102529,0.726984126984127,0.4707309069638042,0.5573295985060691,0.4906561607896748,0.2987445584577115,0.7158613445378152,0.44743703933186185,0.4053607308324289,0.7899159663865547,0.726984126984127
Bryan Jones,1.0,0.3888888888888889,0.5913774432980714,0.4601889338731444,0.8680555555555556,1.0,0.6621621621621622,0.8458536585365853,0.8768956289027654,0.0,1.0,1.0,0.6866256157635467,0.6050420168067226,0.5917306655731829,0.8680555555555556,0.8186936936936937,0.9206730769230769,0.875,0.6866256157635467,0.7833457902391725,0.7146851629273505,0.8680555555555556,0.584280303030303,0.5325476992143658,0.417799351874168,0.8057869062901156,0.975,0.7405337179949514,0.875,0.5718954248366013,0.8680555555555556,1.0,0.6489265215507906,0.8680555555555556,0.5420629528985507,0.5792687270789969,0.8111111111111111,1.0,0.8436848030018762,0.8714285714285714,0.9206730769230769,0.8714285714285714,0.8255131964809383,0.625750574352548,1.0,0.596749226006192,0.8148329228837703,1.0,0.5955488060326769,0.6258033601783601,1.0,0.9294871794871795,0.5392389028981771,0.8434959349593496,0.7603178635953025,0.6066176470588235,0.71875,1.0,0.5373677248677249,0.5672023809523808,0.85671768707483,0.35625,0.4815314563973461,0.8714285714285714,0.6876798181829629,0.7020833333333334,0.6854939024390244,0.8680555555555556,0.5792601495726496,1.0,0.5913774432980714,0.617361111111111,0.6854066985645934,0.3820688225538972,1.0,0.5683697089947091,0.5391503267973856,0.7833457902391725,0.9226190476190477
